"district","category","harm","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"dob","CtoC","injured",910,1106,1083,1038,955,939,929,861,924,966,879,729,844,730,554
"dob","CarOnly","totalcase",17,25,22,21,26,25,25,25,42,30,42,38,35,27,29
"dob","CarOnly","death",1,1,1,1,3,1,0,0,1,0,1,0,2,0,0
"dob","CarOnly","injured",18,28,23,24,24,28,30,29,57,34,42,41,36,30,33
"now","total","totalcase",1707,1742,1829,1683,1529,1623,1522,1516,1459,1535,1499,1569,1703,1462,1413
"now","total","death",26,22,21,25,14,13,13,17,15,13,11,14,8,5,8
"now","total","injured",2380,2476,2602,2434,2231,2330,2175,2038,2098,2216,2055,2227,2302,2016,1940
"now","CtoP","totalcase",390,455,472,443,436,420,397,412,399,387,376,383,415,286,280
"now","CtoP","death",9,10,11,11,8,10,5,9,5,6,5,9,6,3,2
"now","CtoP","injured",407,460,484,462,460,439,405,431,414,412,399,402,437,298,298
"now","CtoC","totalcase",1286,1244,1311,1197,1061,1164,1087,1062,1008,1097,1075,1138,1254,1142,1078
"now","CtoC","death",14,8,10,9,5,3,4,6,6,6,4,3,2,2,0
"now","CtoC","injured",1941,1972,2058,1922,1738,1843,1725,1560,1616,1745,1594,1771,1823,1676,1588
"now","CarOnly","totalcase",31,43,45,43,32,39,38,42,52,51,48,48,34,34,55
"now","CarOnly","death",3,4,0,5,1,0,4,2,4,1,2,2,0,0,6
"now","CarOnly","injured",32,44,58,50,33,48,45,47,68,59,62,54,42,42,54
"eun","total","totalcase",1315,1596,1739,1514,1509,1519,1270,1325,1203,1121,1067,1134,1119,953,867
"eun","total","death",16,16,15,16,20,21,10,11,16,14,12,12,7,14,11
"eun","total","injured",1847,2160,2379,2120,2058,2197,1716,1889,1673,1518,1489,1580,1464,1415,1218
"eun","CtoP","totalcase",405,514,494,487,530,521,463,445,391,394,416,367,361,275,250
"eun","CtoP","death",7,14,9,9,16,13,5,6,12,8,7,7,3,10,2
"eun","CtoP","injured",425,530,517,510,549,553,484,468,403,415,439,373,380,278,259
"eun","CtoC","totalcase",891,1055,1180,974,921,946,762,842,784,685,611,721,703,644,583
"eun","CtoC","death",7,2,2,5,2,4,4,5,4,4,5,4,4,3,5
"eun","CtoC","injured",1397,1599,1784,1544,1444,1591,1184,1378,1237,1047,1005,1147,1024,1092,917
"eun","CarOnly","totalcase",19,27,65,53,58,52,45,38,28,42,40,46,55,34,34
"eun","CarOnly","death",2,0,4,2,2,4,1,0,0,2,0,1,0,1,4
"eun","CarOnly","injured",25,31,78,66,65,53,48,43,33,56,45,60,60,45,42
"seod","total","totalcase",1031,1081,1231,1141,1061,1041,1081,1122,1071,1135,1032,1033,1113,928,930
"seod","total","death",13,14,26,15,14,13,14,16,13,14,8,5,14,6,9
"seod","total","injured",1513,1530,1811,1719,1496,1645,1578,1590,1492,1566,1430,1403,1609,1256,1206
"seod","CtoP","totalcase",294,318,339,335,341,301,323,364,356,314,310,325,326,207,216
"seod","CtoP","death",10,10,13,10,10,4,10,9,8,11,5,4,8,6,3
"seod","CtoP","injured",295,327,355,355,358,325,333,372,377,322,334,344,334,216,232
"seod","CtoC","totalcase",716,726,854,766,679,702,702,705,658,767,674,659,736,686,665
"seod","CtoC","death",2,3,13,3,2,7,1,6,3,3,3,1,4,0,4
"seod","CtoC","injured",1196,1166,1415,1314,1094,1274,1178,1158,1052,1182,1044,998,1220,1002,921
"seod","CarOnly","totalcase",21,37,38,40,41,38,56,53,57,54,48,49,51,35,49
"seod","CarOnly","death",1,1,0,2,2,2,3,1,2,0,0,0,2,0,2
"seod","CarOnly","injured",22,37,41,50,44,46,67,60,63,62,52,61,55,38,53
"ma","total","totalcase",1439,1673,1658,1726,1623,1561,1747,1759,1802,1768,1859,1671,1494,1272,1102
"ma","total","death",24,12,29,22,23,23,23,20,17,15,8,11,7,13,14
"ma","total","injured",2241,2544,2526,2697,2530,2363,2732,2633,2730,2605,2793,2429,2123,1754,1573
"ma","CtoP","totalcase",304,367,400,401,389,376,434,451,472,437,462,397,360,265,228
"ma","CtoP","death",8,7,12,9,13,9,14,11,7,8,7,4,4,6,6
"ma","CtoP","injured",326,390,428,422,402,402,453,477,504,455,489,416,381,278,234
"ma","CtoC","totalcase",1085,1269,1207,1270,1174,1133,1241,1260,1263,1274,1340,1220,1094,974,854
"ma","CtoC","death",9,4,14,9,6,12,7,6,7,5,1,4,2,4,8
"ma","CtoC","injured",1859,2109,2042,2211,2055,1888,2191,2090,2151,2081,2235,1958,1695,1442,1318
"ma","CarOnly","totalcase",50,37,51,55,60,52,72,48,67,57,57,54,40,33,20
"ma","CarOnly","death",7,1,3,4,4,2,2,3,3,2,0,3,1,3,0
"ma","CarOnly","injured",56,45,56,64,73,73,88,66,75,69,69,55,47,34,21
"yang","total","totalcase",1185,1533,1732,1463,1444,1418,1340,1466,1596,1493,1343,1428,1506,1344,1305
"yang","total","death",16,21,18,12,14,14,14,13,14,12,13,11,11,7,14
"yang","total","injured",1737,2122,2413,2070,2006,2036,1905,2000,2231,2056,1789,1939,2085,1829,1692
"yang","CtoP","totalcase",323,432,385,355,347,391,379,398,468,405,370,366,373,281,284
"yang","CtoP","death",8,11,5,6,5,8,4,7,5,6,8,5,7,4,7
"yang","CtoP","injured",332,441,397,371,366,399,410,414,490,414,375,383,384,290,289
"yang","CtoC","totalcase",846,1071,1315,1073,1049,980,910,1009,1079,1046,936,1015,1097,1027,992
"yang","CtoC","death",6,3,11,4,6,5,8,4,3,4,3,4,3,2,6
"yang","CtoC","injured",1378,1653,1981,1665,1586,1587,1433,1516,1687,1595,1372,1508,1662,1503,1374
"yang","CarOnly","totalcase",16,30,32,35,48,47,51,59,49,42,37,47,36,36,29
"yang","CarOnly","death",2,7,2,2,3,1,2,2,6,2,2,2,1,1,1
"yang","CarOnly","injured",27,28,35,34,54,50,62,70,54,47,42,48,39,36,29
"gangs","total","totalcase",1769,2056,1994,1872,1885,1767,1715,1806,1932,1691,1584,1502,1829,1575,1501
"gangs","total","death",19,22,15,21,16,25,26,32,12,13,12,11,20,17,13
"gangs","total","injured",2484,2811,2867,2594,2740,2573,2517,2614,2762,2230,2155,2208,2491,2131,2042
"gangs","CtoP","totalcase",472,541,535,554,553,495,506,505,531,471,402,387,469,346,340
"gangs","CtoP","death",11,8,7,11,5,14,15,15,7,6,6,5,13,8,7
"gangs","CtoP","injured",495,565,567,586,570,512,523,516,549,489,417,413,482,355,356
"gangs","CtoC","totalcase",1251,1447,1402,1255,1262,1191,1118,1229,1329,1139,1125,1052,1298,1179,1121
"gangs","CtoC","death",7,13,5,6,6,4,9,15,4,6,5,6,7,9,6
"gangs","CtoC","injured",1940,2171,2233,1939,2093,1976,1861,2010,2130,1638,1676,1713,1926,1717,1639
"gangs","CarOnly","totalcase",46,68,57,63,70,81,91,72,72,81,57,63,62,50,40
